0,0
0.001,0.00014
0.002,-0.00047
0.003,0.0001
0.004,0.00015
0.005,8e-05
0.006,-5e-05
0.007,5e-05
0.008,9e-05
0.009,-6e-05
0.01,-7e-05
0.011,-0.00027
0.012,0
0.013,6e-05
0.014,0.00017
0.015,-7e-05
0.016,-3e-05
0.017,0.00018
0.018,5e-05
0.019,7e-05
0.02,7e-05
0.021,9e-05
0.022,-0.0001
0.023,1e-05
0.024,-0.00021
0.025,7e-05
0.026,2e-05
0.027,0.00013
0.028,0
0.029,0.00016
0.03,-0.00032
0.031,3e-05
0.032,8e-05
0.033,0.00015
0.034,5e-05
0.035,-0.00013
0.036,0.00017
0.037,0
0.038,-2e-05
0.039,-0.00018
0.04,0.00019
0.041,5e-05
0.042,0.0001
0.043,0.00023
0.044,4e-05
0.045,1e-05
0.046,7e-05
0.047,-8e-05
0.048,0.00021
0.049,-0.00018
0.05,-2e-05
0.051,-0.00021
0.052,5e-05
0.053,-6e-05
0.054,-8e-05
0.055,0
0.056,0.00033
0.057,-5e-05
0.058,-0.00043
0.059,0.00017
0.06,4e-05
0.061,7e-05
0.062,0.00015
0.063,0.00014
0.064,-1e-05
0.065,0.00019
0.066,5e-05
0.067,1e-05
0.068,-0.00036
0.069,0.00015
0.07,-0.00032
0.071,0.00014
0.072,0.00012
0.073,-6e-05
0.074,8e-05
0.075,0.00017
0.076,5e-05
0.077,-0.0004
0.078,0.00017
0.079,0.00013
0.08,2e-05
0.081,0.00011
0.082,1e-05
0.083,0.00024
0.084,-0.00046
0.085,-2e-05
0.086,-0.00017
0.087,0.00013
0.088,0.00017
0.089,5e-05
0.09,0.00011
0.091,0.00013
0.092,1e-05
0.093,1e-05
0.094,0.00011
0.095,9e-05
0.096,-0.00045
0.097,0.00011
0.098,0.0001
0.099,-1e-05
0.1,-3e-05
0.101,0.00011
0.102,-1e-05
0.103,0.00019
0.104,5e-05
0.105,-0.00064
0.106,9e-05
0.107,0.00013
0.108,5e-05
0.109,5e-05
0.11,0.00016
0.111,8e-05
0.112,3e-05
0.113,0.00013
0.114,6e-05
0.115,-0.00033
0.116,0.0001
0.117,4e-05
0.118,-2e-05
0.119,-1e-05
0.12,-0.0001
0.121,2e-05
0.122,2e-05
0.123,0.00011
0.124,-0.00044
0.125,8e-05
0.126,0.00012
0.127,7e-05
0.128,-5e-05
0.129,0.00015
0.13,8e-05
0.131,-1e-05
0.132,6e-05
0.133,1e-05
0.134,0.0001
0.135,8e-05
0.136,0.00015
0.137,3e-05
0.138,0.00028
0.139,-6e-05
0.14,1e-05
